n_estimators,learning_rate,max_depth,min_child_weight,val_auc,best_threshold,fn,fp,fp_fn_ratio,total_errors,balance_score,auc_rank,error_rank,balance_rank,composite_score
400,0.05,5,3,0.9707581210512591,0.2600000000000001,78,441,5.653846153846154,519,636.0,72.0,75.5,33.5,61.5
500,0.1,4,3,0.9710555673294707,0.31000000000000016,110,382,3.4727272727272727,492,657.0,34.0,4.0,162.0,63.400000000000006
400,0.1,4,3,0.9710555673294707,0.31000000000000016,110,382,3.4727272727272727,492,657.0,34.0,4.0,162.0,63.400000000000006
300,0.1,4,3,0.9710555673294707,0.31000000000000016,110,382,3.4727272727272727,492,657.0,34.0,4.0,162.0,63.400000000000006
300,0.07,3,5,0.9707277298010943,0.29000000000000015,79,439,5.556962025316456,518,636.5,79.0,70.0,37.5,63.85
300,0.07,3,7,0.9705284084635752,0.31000000000000016,90,414,4.6,504,639.0,106.0,21.5,55.0,65.35000000000001
500,0.05,6,7,0.9707922303799019,0.27000000000000013,92,416,4.521739130434782,508,646.0,66.5,35.0,100.5,67.25
400,0.05,6,7,0.9707922303799019,0.27000000000000013,92,416,4.521739130434782,508,646.0,66.5,35.0,100.5,67.25
300,0.07,4,1,0.970908137435053,0.29000000000000015,94,415,4.414893617021277,509,650.0,50.0,38.0,120.0,67.4
300,0.07,3,1,0.9706415673737644,0.31000000000000016,92,414,4.5,506,644.0,88.0,28.0,81.5,68.05
300,0.1,4,5,0.9706244318816499,0.29000000000000015,99,398,4.02020202020202,497,645.5,90.0,12.0,95.5,68.25
500,0.1,4,5,0.9706244318816499,0.29000000000000015,99,398,4.02020202020202,497,645.5,90.0,12.0,95.5,68.25
400,0.1,4,5,0.9706244318816499,0.29000000000000015,99,398,4.02020202020202,497,645.5,90.0,12.0,95.5,68.25
300,0.1,3,1,0.9708594791036717,0.2600000000000001,75,453,6.04,528,640.5,53.0,122.0,63.0,76.7
500,0.05,5,7,0.9706727669018594,0.2600000000000001,82,437,5.329268292682927,519,642.0,85.5,75.5,74.0,79.05
400,0.05,5,7,0.9706727669018594,0.2600000000000001,82,437,5.329268292682927,519,642.0,85.5,75.5,74.0,79.05
500,0.05,5,1,0.9709391753075619,0.24000000000000007,70,464,6.628571428571429,534,639.0,47.0,146.5,55.0,79.25
200,0.1,4,5,0.9704609980842196,0.28000000000000014,85,427,5.023529411764706,512,639.5,120.0,49.0,58.5,80.25
300,0.1,5,5,0.9705793299731604,0.2500000000000001,77,446,5.792207792207792,523,638.5,95.5,96.5,48.0,81.55000000000001
500,0.1,5,5,0.9705793299731604,0.2500000000000001,77,446,5.792207792207792,523,638.5,95.5,96.5,48.0,81.55000000000001
200,0.1,5,5,0.9705793299731604,0.2500000000000001,77,446,5.792207792207792,523,638.5,95.5,96.5,48.0,81.55000000000001
400,0.1,5,5,0.9705793299731604,0.2500000000000001,77,446,5.792207792207792,523,638.5,95.5,96.5,48.0,81.55000000000001
300,0.07,3,3,0.9704619680177355,0.31000000000000016,91,417,4.582417582417582,508,644.5,119.0,35.0,86.0,83.9
400,0.05,3,1,0.9702632124747677,0.30000000000000016,83,427,5.144578313253012,510,634.5,158.0,41.5,28.0,84.05000000000001
400,0.07,5,5,0.9709655251680774,0.2600000000000001,83,442,5.325301204819277,525,649.5,43.0,108.0,117.5,84.85
500,0.07,5,5,0.9709655251680774,0.2600000000000001,83,442,5.325301204819277,525,649.5,43.0,108.0,117.5,84.85
300,0.07,5,5,0.9709655251680774,0.2600000000000001,83,442,5.325301204819277,525,649.5,43.0,108.0,117.5,84.85
300,0.07,4,3,0.9709559874885043,0.27000000000000013,81,445,5.493827160493828,526,647.5,46.0,114.5,108.0,85.15
500,0.03,5,5,0.9705539500461609,0.28000000000000014,87,428,4.919540229885057,515,645.5,99.0,59.5,95.5,86.1
400,0.1,5,1,0.9707476134381702,0.2600000000000001,80,445,5.5625,525,645.0,75.5,108.0,90.5,89.75
500,0.1,5,1,0.9707476134381702,0.2600000000000001,80,445,5.5625,525,645.0,75.5,108.0,90.5,89.75
200,0.1,5,1,0.9707476134381702,0.2600000000000001,80,445,5.5625,525,645.0,75.5,108.0,90.5,89.75
300,0.1,5,1,0.9707476134381702,0.2600000000000001,80,445,5.5625,525,645.0,75.5,108.0,90.5,89.75
300,0.05,5,5,0.9704348098792901,0.29000000000000015,91,418,4.593406593406593,509,645.5,127.0,38.0,95.5,90.85
500,0.03,5,3,0.9705672866320045,0.28000000000000014,87,430,4.942528735632184,517,647.5,98.0,65.5,108.0,91.25
300,0.1,4,1,0.970760222573877,0.27000000000000013,89,430,4.831460674157303,519,652.5,70.0,75.5,137.0,91.75
500,0.1,4,1,0.970760222573877,0.27000000000000013,89,430,4.831460674157303,519,652.5,70.0,75.5,137.0,91.75
400,0.1,4,1,0.970760222573877,0.27000000000000013,89,430,4.831460674157303,519,652.5,70.0,75.5,137.0,91.75
400,0.05,3,3,0.9702393682758349,0.31000000000000016,90,416,4.622222222222222,506,641.0,162.0,28.0,66.5,93.15
500,0.05,5,3,0.9708030613041628,0.2500000000000001,77,453,5.883116883116883,530,645.5,65.0,133.5,95.5,94.69999999999999
500,0.03,5,7,0.9705342280646707,0.28000000000000014,88,429,4.875,517,649.0,104.0,65.5,114.5,95.6
500,0.05,6,1,0.9705469988559633,0.2600000000000001,85,435,5.117647058823529,520,647.5,101.0,81.0,108.0,97.1
300,0.05,6,1,0.9705469988559633,0.2600000000000001,85,435,5.117647058823529,520,647.5,101.0,81.0,108.0,97.1
